product_id,event_type,count(event_type)
5312,cart,7
5312,remove_from_cart,9
5312,purchase,2
5313,cart,7
5313,purchase,2
5313,view,6
5313,remove_from_cart,1
5319,view,8
5321,cart,1
5321,purchase,7
5321,remove_from_cart,4
5321,view,41
5322,remove_from_cart,6
5322,purchase,5
5322,cart,5
5322,view,13
5325,remove_from_cart,1
5325,view,11
5325,cart,6
5325,purchase,1
5327,view,2
5329,view,70
5329,cart,3
5329,remove_from_cart,3
5333,purchase,3
5333,view,15
5333,remove_from_cart,1
5333,cart,3
5334,view,6
5335,remove_from_cart,8
5335,cart,19
5335,purchase,11
5335,view,22
5336,view,1
5337,view,13
5337,cart,5
5337,purchase,2
5339,view,11
5339,purchase,1
5339,remove_from_cart,3
5339,cart,2
5340,view,18
5342,purchase,15
5342,cart,22
5342,view,161
5342,remove_from_cart,7
5343,cart,3
5343,remove_from_cart,2
5343,purchase,1
5343,view,2
5345,remove_from_cart,1
5345,purchase,3
5345,cart,2
5345,view,13
5348,cart,5
5348,view,9
5348,remove_from_cart,3
5348,purchase,1
5353,view,5
5353,remove_from_cart,4
5353,cart,7
5353,purchase,6
5359,cart,3
5359,view,8
5367,view,16
5367,cart,3
5367,purchase,3
5367,remove_from_cart,1
5370,purchase,1
5370,cart,3
5370,remove_from_cart,3
5370,view,5
5371,view,10
5371,remove_from_cart,1
5371,cart,4
5371,purchase,1
5372,cart,36
5372,view,472
5372,remove_from_cart,11
5372,purchase,8
5374,view,9
5374,remove_from_cart,1
5374,purchase,3
5374,cart,4
5375,view,144
5375,cart,51
5375,purchase,8
5375,remove_from_cart,19
5378,view,161
5378,cart,25
5378,purchase,5
5378,remove_from_cart,13
5379,view,110
5379,cart,10
5379,remove_from_cart,4
5379,purchase,3
5381,cart,2
5381,purchase,2
5381,remove_from_cart,1
5381,view,29
5385,view,16
5385,purchase,3
5385,cart,7
5386,cart,4
5386,remove_from_cart,3
5386,view,11
5386,purchase,3
5393,cart,3
5393,purchase,1
5393,view,55
5393,remove_from_cart,3
5394,view,51
5394,cart,1
5395,purchase,3
5395,view,165
5395,remove_from_cart,12
5395,cart,14
5396,view,34
5396,remove_from_cart,1
5396,cart,1
5405,cart,13
5405,remove_from_cart,4
5405,view,139
5405,purchase,4
5407,cart,1
5407,purchase,1
5407,view,35
5408,view,35
5408,cart,9
5408,remove_from_cart,3
5408,purchase,3
5412,view,107
5412,cart,43
5412,purchase,10
5412,remove_from_cart,11
5413,purchase,1
5413,view,36
5413,cart,8
5413,remove_from_cart,2
5415,view,9
5415,purchase,2
5415,cart,2
5416,view,1
5426,view,28
5461,purchase,2
5461,remove_from_cart,4
5461,view,12
5461,cart,5
5463,cart,30
5463,view,78
5463,remove_from_cart,13
5463,purchase,17
5464,remove_from_cart,2
5464,view,15
5464,cart,9
5464,purchase,1
5465,cart,9
5465,remove_from_cart,4
5465,view,35
5465,purchase,3
5466,remove_from_cart,8
5466,cart,15
5466,purchase,17
5466,view,42
5467,view,42
5467,remove_from_cart,2
5467,cart,3
5473,view,1
5474,remove_from_cart,3
5474,cart,11
5474,view,16
5474,purchase,2
5478,view,1
5480,view,15
5480,cart,10
5480,remove_from_cart,4
5480,purchase,2
5481,view,2
5481,cart,5
5481,purchase,2
5481,remove_from_cart,1
5482,remove_from_cart,2
5482,view,4
5484,view,1
5487,remove_from_cart,1
5487,cart,1
5489,remove_from_cart,9
5489,purchase,4
5489,view,17
5489,cart,13
5491,view,5
5491,cart,3
5491,purchase,1
5492,view,1
5495,view,1
5496,view,2
5496,cart,1
5496,remove_from_cart,3
5498,cart,3
5498,view,2
5503,view,3
5506,remove_from_cart,2
5506,purchase,1
5506,view,7
5506,cart,3
5507,view,4
5507,cart,3
5507,remove_from_cart,1
5508,view,11
5508,cart,4
5508,remove_from_cart,2
5517,view,2
5521,purchase,1
5521,view,2
5521,cart,4
5524,view,1
5525,view,23
5525,cart,9
5525,purchase,2
5525,remove_from_cart,6
5526,view,94
5526,cart,68
5526,purchase,22
5526,remove_from_cart,29
5527,view,9
5527,cart,4
5527,remove_from_cart,1
5527,purchase,2
5528,remove_from_cart,2
5528,view,15
5528,cart,7
5529,cart,10
5529,remove_from_cart,8
5529,view,12
5529,purchase,6
5530,view,6
5530,remove_from_cart,1
5530,purchase,4
5530,cart,8
5531,cart,5
5531,view,10
5531,purchase,1
5532,purchase,9
5532,view,40
5532,cart,20
5532,remove_from_cart,12
5533,view,22
5533,cart,6
5533,purchase,2
5534,cart,3
5534,view,11
5535,cart,1
5535,view,1
5535,purchase,1
5536,view,5
5536,cart,2
5539,remove_from_cart,2
5539,cart,4
5539,purchase,1
5539,view,13
5540,view,29
5540,cart,7
5540,purchase,1
5540,remove_from_cart,2
5542,remove_from_cart,7
5542,cart,9
5542,purchase,2
5542,view,10
5543,view,9
5543,remove_from_cart,1
5543,cart,3
5543,purchase,1
5546,purchase,1
5546,view,12
5546,remove_from_cart,1
5546,cart,5
5547,view,5
5547,cart,2
5548,view,4
5548,cart,2
5551,cart,2
5551,view,7
5552,remove_from_cart,2
5552,cart,8
5552,purchase,1
5552,view,7
5572,remove_from_cart,4
5572,view,7
5572,cart,8
5572,purchase,1
5580,view,3
5581,view,31
5581,cart,65
5581,remove_from_cart,18
5581,purchase,33
5582,view,1
5584,cart,26
5584,purchase,15
5584,remove_from_cart,15
5584,view,17
5585,view,1
5586,view,1
5587,remove_from_cart,10
5587,view,63
5587,cart,13
5587,purchase,1
5588,cart,17
5588,remove_from_cart,8
5588,view,56
5588,purchase,2
5589,cart,5
5589,remove_from_cart,1
5589,view,19
5652,view,3
5689,cart,10
5689,remove_from_cart,4
5689,view,123
5789,view,4
5912,view,3
5916,cart,5
5916,view,14
5916,remove_from_cart,3
5916,purchase,1
5918,cart,10
5918,view,10
5918,purchase,2
5921,cart,5
5921,view,8
5921,remove_from_cart,1
5922,view,16
5922,cart,13
5922,remove_from_cart,6
5922,purchase,2
5923,remove_from_cart,2
5923,purchase,3
5923,view,20
5923,cart,4
5925,cart,2
5925,view,3
5926,view,10
5926,purchase,3
5926,cart,10
5926,remove_from_cart,4
5929,view,3
5929,cart,2
5930,cart,2
5930,remove_from_cart,2
5930,view,12
5931,view,6
5931,cart,2
5937,view,83
5937,remove_from_cart,12
5937,purchase,10
5937,cart,25
5938,view,26
5938,cart,4
5938,remove_from_cart,3
5939,view,49
5939,purchase,6
5939,cart,19
5939,remove_from_cart,3
5940,view,5
5940,cart,3
5941,view,5
5941,cart,3
5943,view,4
5943,cart,3
5943,purchase,2
5947,cart,3
5947,view,3
5950,view,7
5950,purchase,3
5950,cart,2
5953,purchase,8
5953,remove_from_cart,8
5953,view,54
5953,cart,34
5954,view,8
5954,remove_from_cart,1
5954,cart,2
5954,purchase,1
5956,purchase,1
5956,view,16
5956,cart,3
5956,remove_from_cart,3
5957,purchase,7
5957,remove_from_cart,7
5957,view,33
5957,cart,6
5980,cart,5
5980,view,6
5980,remove_from_cart,2
6160,view,1
6163,view,1
6174,cart,14
6174,view,26
6174,purchase,9
6174,remove_from_cart,9
6175,purchase,6
6175,view,6
6175,cart,7
6175,remove_from_cart,3
6177,cart,2
6177,view,3
6178,purchase,1
6178,remove_from_cart,1
6178,cart,4
6178,view,153
6179,cart,2
6179,view,3
6184,view,1
6185,cart,2
6185,view,2
6185,remove_from_cart,2
6186,view,2
6186,cart,3
6187,cart,2
6187,view,2
6192,cart,6
6192,view,7
6192,remove_from_cart,2
6195,cart,4
6195,view,4
6195,remove_from_cart,1
6195,purchase,1
6198,view,3
6198,cart,2
6199,cart,2
6199,view,3
6199,purchase,1
6199,remove_from_cart,1
6200,view,1
6210,purchase,2
6210,cart,14
6210,remove_from_cart,3
6210,view,79
6221,view,8
6221,cart,3
6221,remove_from_cart,1
6221,purchase,2
6222,purchase,1
6222,cart,1
6222,remove_from_cart,2
6222,view,5
6223,view,4
6223,cart,1
6225,cart,2
6225,view,4
6225,remove_from_cart,1
6226,cart,2
6226,view,2
6228,view,7
6228,cart,4
6230,purchase,2
6230,view,9
6230,cart,6
6232,view,9
6232,purchase,2
6232,cart,8
6232,remove_from_cart,2
6237,cart,5
6237,view,3
6237,remove_from_cart,3
6238,view,2
6256,view,4
6256,remove_from_cart,2
6257,view,3
6313,view,31
6313,cart,3
6313,purchase,2
6325,view,6
6326,cart,3
6326,view,2
6338,cart,2
6338,view,5
6340,cart,3
6340,view,5
6340,remove_from_cart,1
6342,cart,1
6342,view,2
6346,view,5
6346,cart,3
6363,view,2
6365,cart,2
6365,view,2
6366,cart,2
6366,view,8
6368,cart,4
6368,view,8
6371,view,5
6371,cart,2
6372,view,3
6372,cart,2
6375,cart,3
6375,view,6
6375,remove_from_cart,1
6377,view,8
6377,cart,2
6385,remove_from_cart,1
6385,cart,4
6385,view,3
6394,view,1
6398,view,4
6407,view,2
6410,cart,2
6410,view,3
6412,purchase,2
6412,remove_from_cart,1
6412,cart,5
6412,view,3
6414,cart,2
6414,view,2
6441,cart,3
6441,view,15
6451,view,6
6458,cart,2
6458,remove_from_cart,2
6458,view,4
6460,cart,1
6463,remove_from_cart,1
6463,cart,4
6463,view,6
6467,cart,2
6467,view,4
6473,view,5
6479,view,4
6479,cart,3
6479,remove_from_cart,1
6482,view,1
6483,remove_from_cart,1
6483,view,6
6484,view,3
6493,purchase,1
6493,cart,2
6493,view,7
6495,remove_from_cart,3
6495,view,26
6495,purchase,1
6495,cart,2
6498,view,9
6498,cart,3
6499,cart,8
6499,remove_from_cart,3
6499,purchase,2
6499,view,41
6500,cart,8
6500,view,6
6500,purchase,1
6500,remove_from_cart,1
6501,view,113
6501,remove_from_cart,7
6501,cart,9
6501,purchase,2
6505,view,1
6506,cart,5
6506,view,62
6506,purchase,5
6506,remove_from_cart,2
6534,remove_from_cart,2
6534,view,28
6534,cart,10
6534,purchase,2
6537,remove_from_cart,2
6537,cart,5
6537,view,3
6538,remove_from_cart,2
6538,cart,3
6538,view,4
6541,remove_from_cart,1
6541,view,2
6541,cart,1
6544,view,1
6545,purchase,2
6545,cart,3
6545,remove_from_cart,1
6545,view,4
6555,cart,2
6555,view,2
6563,cart,2
6563,remove_from_cart,1
6563,view,6
6585,view,2
6586,cart,3
6586,view,10
6587,cart,2
6587,view,7
6601,view,4
6601,purchase,1
6601,cart,4
6625,purchase,4
6625,remove_from_cart,4
6625,cart,13
6625,view,22
6626,cart,7
6626,view,72
6626,remove_from_cart,3
6627,purchase,2
6627,view,4
6627,cart,5
6627,remove_from_cart,5
6642,cart,7
6642,view,12
6642,purchase,1
6642,remove_from_cart,8
6645,cart,1
6645,view,2
6647,cart,4
6647,view,5
6647,remove_from_cart,3
6648,view,24
6648,purchase,1
6648,remove_from_cart,3
6648,cart,10
6649,view,4
6649,cart,2
6650,cart,2
6650,remove_from_cart,1
6650,view,3
6651,cart,2
6651,view,2
6652,cart,2
6652,view,4
6653,cart,2
6653,view,3
6691,cart,3
6691,view,3
6691,purchase,2
6691,remove_from_cart,1
6730,view,475
6730,cart,59
6730,remove_from_cart,30
6730,purchase,18
6731,view,116
6731,remove_from_cart,17
6731,cart,22
6731,purchase,10
6732,remove_from_cart,3
6732,view,23
6732,purchase,3
6732,cart,5
6733,view,15
6733,cart,2
6734,cart,5
6734,remove_from_cart,3
6734,view,11
6734,purchase,1
6735,view,12
6735,cart,4
6735,remove_from_cart,3
6736,remove_from_cart,5
6736,view,34
6736,cart,7
6736,purchase,5
6737,remove_from_cart,5
6737,purchase,12
6737,cart,14
6737,view,45
6741,view,6
6742,view,2
6743,view,4
6744,view,1
6746,view,5
6749,view,1
6751,view,9
6754,view,4
6756,view,1
6773,view,6
6774,view,1
6801,purchase,1
6801,remove_from_cart,1
6801,cart,3
6801,view,9
6803,view,1
6811,view,8
6817,purchase,12
6817,view,54
6817,cart,27
6817,remove_from_cart,13
6818,cart,10
6818,remove_from_cart,9
6818,view,29
6818,purchase,6
6819,remove_from_cart,2
6819,cart,7
6819,purchase,4
6819,view,74
6820,view,5
6836,view,6
6845,purchase,8
6845,view,45
